"","...1","Column1","Country","Country.Code","Year","Policy.Name","Policy.Description","Link","Year:.implementation","Year:.decision","Year:.end","Indicator.database.source"
"2150",2870,2870,"Australia","AUS",NA,"Tasmania State Energy and Emissions Reduction Deal","Through this agreement, the governments will work closely to further develop the Marinus Link and Battery of the Nation projects._x000D_
The Marinus link has the potential to enable the transmission of an additional 1,500 MW of elctricity from renewable sources between Tasmania and the Mainland","https://www.energy.gov.au/news-media/news/tasmania-energy-and-emissions-reduction-agreement",NA,2020,NA,"Climate Policy Database"
"2151",2874,2874,"Canada","CAN",NA,"Ontario Electricity Pricing, Conservation and Supply Act",NA,"http://www.ene.gov.on.ca/en/index.php",NA,2002,NA,"Climate Policy Database"
"2152",2877,2877,"France","FRA",NA,"Wind Energy Programme",NA,"http://www.espace-eolien.fr/lille/General/200501.htm",NA,1996,NA,"Climate Policy Database"
"2153",2885,2885,"France","FRA",NA,"Grenelle II","This law specifies the Grenelle I objectives in order to facilitate their implementation.","http://www.lse.ac.uk/GranthamInstitute/law/grenelle-ii/",NA,2010,NA,"Climate Policy Database"
"2154",2886,2886,"United States of America","USA",NA,"Biomass Program","""Included in its vision was the setting of a very challenging goal: biomass will supply 5 percent of the nation<U+2019>s power, 20 percent of its transportation fuels, and 25 percent of its chemicals by 2030. The goal is equivalent to 30 percent of current petroleum consumption and will require more than approximately one billion dry tons of biomass feedstock annually <U+2014> a fivefold increase over the current consumption.""","https://www.energy.gov/sites/prod/files/2014/04/f14/biomass_rd_act_2000.pdf",NA,2000,NA,"Climate Policy Database"
"2155",2889,2889,"Japan","JPN",NA,"Green Power: Renewable Portfolio Standards (RPS)",NA,"http://www.rps.go.jp/RPS/new-contents/top/toplink-english.html",NA,2003,2012,"Climate Policy Database"
"2156",2890,2890,"United States of America","USA",NA,"Energy Efficient Retrofits",NA,NA,NA,2009,NA,"Climate Policy Database"
"2157",2891,2891,"Finland","FIN",NA,"Act on the Supervision of the electricity and gas market (590/2013)","Legislative","https://www.ecolex.org/details/legislation/act-on-the-supervision-of-the-electricity-and-gas-market-982013590-lex-faoc131980/",NA,2013,NA,"Climate Policy Database"
"2158",2893,2893,"United Kingdom","GBR",NA,"Renewable Energy Guarantees of Origin (REGOs)",NA,"https://www.ofgem.gov.uk/environmental-programmes/renewable-energy-guarantees-origin-rego",NA,2003,NA,"Climate Policy Database"
"2159",2894,2894,"United States of America","USA",NA,"Accelerate Energy Productivity 2030","This is a strategy responds to the presidential call to action to double energy_x000D_
productivity (GDP(US$(2005))/EJ) betwen 2010 and 2030. The strategy divides the measures into six wedges that together should meet this overall target_x000D_
Wedges: transportation, Technologies for Buildings Energy Productivity, Smart Energy Systems, Financing for Buildings Energy Productivity, Smart Manufacturing, Water Infrastructure:_x000D_
Target_x000D_
- 100% increase in energy productivity (GDP(US$2005)/EJ) between 2010 and 2030_x000D_
We assume the status is unkown as the current administration does not pursue existing targets.","http://www.energy2030.org/roadmap_x000D_
http://energy.gov/epsa/accelerate-energy-productivity-2030_x000D_
http://energy.gov/sites/prod/files/2015/03/f20/Accelerate%20Energy%20Productivity%202030%20Fact%20Sheet%20Updated.pdf",2015,2014,2030,"Climate Policy Database"
"2160",2896,2896,"France","FRA",NA,"Multilateral Development of Gen IV Nuclear Power Plants",NA,"https://www.oecd-nea.org/upload/docs/application/pdf/2019-12/6436-nuclear-energy-outlook-2008.pdf",NA,1999,NA,"Climate Policy Database"
"2161",2897,2897,"Japan","JPN",NA,"Holistic and Efficient Use of Energy",NA,NA,2008,2008,NA,"Climate Policy Database"
"2162",2898,2898,"United States of America","USA",NA,"Residential Renewable Energy Tax Credit",NA,"https://programs.dsireusa.org/system/program/detail/1235",NA,2006,NA,"Climate Policy Database"
"2163",2899,2899,"France","FRA",NA,"Government Crediting and Loan Guarantee for Energy Efficiency and Renewable Energy Investment - FOGIME",NA,"http://www.ademe.fr/entreprises/Aides/",NA,2001,NA,"Climate Policy Database"
"2164",2907,2907,"Spain","ESP",NA,"Royal Decree Law 15/2012 on Tax Policy Aimed at Energy Sustainability","The Law imposes a 7 percent tax on electricity generation starting Jan 1, 2013. To be applied to all the electricity generators._x000D_
An amendment to the Law, eliminates the right to be remunerated under the premium-based system for the sale of electricity attributable to the use of fuels at generation facilities that use any non-consumable renewable energy as a primary energy source, except in the case of hybrid facilities that use consumable and non-consumable renewable energy sources, in which case the use of consumable energy could qualify for the premium. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/5343-royal-decree-law-152012-on-tax-policy-aimed-at-energy-sustainability?country=Spain&page=3",NA,2013,NA,"Climate Policy Database"
"2165",2908,2908,"United States of America","USA",NA,"Hydrogen and Fuel Cell Technologies (HFCT)",NA,"http://www.eere.energy.gov/hydrogenandfuelcells/",NA,2005,NA,"Climate Policy Database"
"2166",2910,2910,"Belgium","BEL",NA,"Offshore Domanial Concessions for Wind and Ocean Energy Production","By virtue of a royal decree of December, 20, 2000, modified by a decree of May, 17, 2004, the Minister for Energy from now on can deliver domanial concessions for the construction and the exploitation of installations of electricity production, generated from water, currents or winds, in the territorial sea and the exclusive economic zone of Belgium. The decree in question determinates precisely the zone where the installations may be set up. It also specifies the criteria of granting and the procedure by which the concessions are being issued. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/4536-offshore-domanial-concessions-for-wind-and-ocean-energy-production?country=Belgium&page=2&qs=belgiu",NA,2004,NA,"Climate Policy Database"
"2167",2911,2911,"United Kingdom","GBR",NA,"UK Climate Change Programme","<U+00A0>Targets to deliver 10% of the UK<U+2019>s electricity supply from renewable sources by 2010","http://webarchive.nationalarchives.gov.uk/20110523172013/_x000D_
http:/www.decc.gov.uk/en/content/cms/what_we_do/change_energy/tackling_clima/programme/programme.aspx",NA,2000,2010,"Climate Policy Database"
"2168",2912,2912,"Australia","AUS",NA,"Methane to Markets Partnership",NA,"https://www.globalmethane.org/documents/partners_australia_booklet.pdf",NA,2004,2010,"Climate Policy Database"
"2169",2916,2916,"United Kingdom","GBR",NA,"Energy Efficiency Commitment (2002-2005)",NA,"https://www.ofgem.gov.uk/ofgem-publications/58585/11254-18105pdf",NA,2001,2005,"Climate Policy Database"
"2170",2917,2917,"Australia","AUS",NA,"Funding for Low Emissions Technology and Abatement",NA,"http://www.environment.gov.au/",NA,2005,2009,"Climate Policy Database"
"2171",2918,2918,"France","FRA",NA,"BPI Innovation for SMEs - support for R&D","Established in 2005, OSEO is a French public organisation that funds and advises small- and medium-sized enterprises (SMEs). This programme aims at promoting R&D, with grants ranging from EUR 40 to 400 thousand over six years. It can also offer loan guarantees cover 60% of a loan taken for research, development and/or deployment activities. In 2007, OSEO supported 208 projects in the field of Energy for a total of EUR 27.4 million. These included use of technology for improved energy consumption monitoring, high-efficiency construction materials, and a variety of renewable energy projects. OSEO also supported 164 projects for a total amount of EUR 16.47 million in the ground transport sector. Several projects involved reduced CO2 use, hybrid vehicles, and new petrol injection techniques to reduce consumption. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/136-bpi-france-innovation-for-smes-support-for-rd?country=France&qs=fra",NA,2007,NA,"Climate Policy Database"
"2172",2919,2919,"Belgium","BEL",NA,"National Green Certificate Scheme","The Federal Council of Ministers introduced a Green Certificate Scheme project by royal decree dealing with the renewable-electricity market. It defined the procedures for licensing off-shore installations, for giving the guarantee of origin and the delivery of the green certificates. It also determined the quota of electricity from renewable energy sources delivered to the users connected to the distribution net (from 2% in 2002 up to 6% in 2006), the fine for not fulfilling the quota being EUR 75 per certificate (corresponding to 1 MWh). It also set the obligation to the transport grid manager for buying the green certificates at a minimum price (equivalent to EUR 0.02/kWh for biomass, EUR 0.05/kWh for wind energy and up to EUR 0.15/kWh for solar energy). IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/3719-national-green-certificate-scheme?country=Belgium&page=3&qs=belg",NA,2001,NA,"Climate Policy Database"
"2173",2923,2923,"Spain","ESP",NA,"Royal Decree Law 1/2012 on Revocation of Public Financial Support for New Electricity Plants from Renewable Energy Sources, Waste or CHP","The remuneration pre-assignment registry processes will be temporarily cancelled. The financial support for new installations that produce electricity from renewable energy sources or waste, or for new CHP installations, will also be temporarily abolished. The actual installed capacity from wind power, solar thermal electric and notably that from solar photovoltaic has gone beyond the objectives set up in the Renewable Energy Plan (REP) 2005-2010. Hence, the costs of the financial support for the electricity from renewable energy sources have been significantly higher than had been anticipated. This situation together with the complex economic and financial current climate, advises the withdrawal of economic incentives for these installations, on a temporary basis, while the reduction of the system's tariff deficit is achieved; that is, the difference between the income from transport and distribution grid access tolls, and regulated activity costs. The rule is not retroactive, meaning that it will not affect, neither power plants already running, or feed-in tariffs already authorised, or installations already registered within the pre-assignment registry. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/5142-royal-decree-law-12012-on-revocation-of-public-financial-support-for-new-electricity-plants-from-renewable-energy-sources-waste-or-chp?country=Spain&page=3",NA,2012,NA,"Climate Policy Database"
"2174",2925,2925,"Belgium","BEL",NA,"Ecological Investment Subsidies (Flanders)","As of the first of February 2013, companies can apply for an ecological investment subsidy (EP PLUS) for investments included on a limitative list with eligible technologies. The subsidy amount is determined by the type of investment (environment, energy consumption, renewable energy, combined heat and power), the efficiency of the technology, the size of the company and the eligibility for a bonus (company has an environment management system ...). In addition to EP PLUS, companies can also apply for strategic ecological investment support as of the 20th of December 2012 for investments in strategic green high-tech solutions. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/4849-flanders-ecological-investment-subsidy?country=Belgium&page=2&qs=belgiu",NA,2007,NA,"Climate Policy Database"
